Date,Event
06/05/25,NJ State Chiefs Briefing
06/06/25,Torch Run
06/10/25,BC Chiefs Meeting
06/11/25,Dept Head Meeting
06/11/25,S. Newman Block Party Meeting
06/12/25,Detective Compstat
06/13/25,Chief for a Day
06/19/25,BC Active Chiefs Meeting
06/20/25,FBI National Academy Interview
06/22/25,Juneteenth Celebration
06/23/25,HHS Graduation
06/25/25,Community Listening Session
06/26/25,July 4 Prep Meeting
06/27/25,Motorola Aware Kick-off Meeting
07/01/25,City Council Reorganization Meeting
07/01/25,FD Memorial Service
07/04/25,July 4 Detail
07/07/25,NJSP Gym meeting
07/08/25,Tour of Facility for Mayor Gaines
07/14/25,Lt. Levis Walkout
07/14/25,Traffic Meeting
07/15/25,Teaneck Pd Meeting
07/16/25,FBI Academy Orientation
07/17/25,Det Compstat
07/17/25,Traff Compstat
07/22/25,Youth Night
07/25/25,Cordico Meeting
08/05/25,National Night Out
08/13/25,Department Head Meeting
08/13/25,Motorola Aware set up meeting
08/14/25,PEOSH Surprise Inspection
08/14/25,Youth Night
08/18/25,SLEO Meeting
08/25/25,Youth Academy
08/26/25,NJ Transit Meeting
09/01/25,All American Ford Meeting
09/03/25,Citizen App Meeting
09/03/25,FBI National Academy meeting
09/04/25,State Chiefs Briefing
09/10/25,Dept Head Meeting
09/11/25,Memorial Ceremony
09/15/25,Esri Meeting
09/17/25,Bag Against Hunger Initiative
