Total Cost,Course Name,Course Duration,Attendees Count
0,4th quarter rifle qual,1,1
0,4th Quarter Rifle Training,1,4
0,BCPO: Annual Domestic Violence Update,1,3
80,Bias Crimes,1,2
0,CJIS/E Agent 2 day class,2,2
0,Defensive Tactics Instructor,10,1
0,ESU Monthly Training,1,11
0,Fall Handgun Qual,1,2
0,Fall Handgun Qualification,1,1
2385,FBI Leeda-Supervisory Leadership Insitute,5,3
1200,Glock Armorer Re-Certification,1,4
0,Mental Health First Aid,1,1
0,Money Laundering Techniques and Methods,1,4
0,Pedestrian Safety Enforcement (PSE),1,2
0,Public Safety Telecommunicator Course,5,1
0,RST-C Squad Training,1,1
