Month-Year,Routine_Avg_13M,Urgent_Avg_13M,Emergency_Avg_13M
01-25,2.15,2.8666666666666667,2.9833333333333334
02-25,2.5166666666666666,3.15,2.783333333333333
03-25,2.85,3.033333333333333,3.1
04-25,2.8666666666666667,3.0166666666666666,2.9
05-25,3.15,3.1166666666666667,2.8833333333333333
06-25,3.45,3.1333333333333333,2.9833333333333334
07-25,3.1333333333333333,3.3,2.95
08-25,3.0833333333333335,2.7666666666666666,2.8666666666666667
09-25,3.45,3.066666666666667,2.966666666666667
10-25,3.5166666666666666,2.9166666666666665,2.85
11-25,3.3833333333333333,3.033333333333333,2.9833333333333334
12-25,2.966666666666667,3.1,2.9833333333333334
