Time Category,Sum of Value,PeriodLabel
Accrued Comp. Time - Non-Sworn,17,01-25
Accrued Comp. Time - Non-Sworn,68,01-26
Accrued Comp. Time - Non-Sworn,35.5,02-25
Accrued Comp. Time - Non-Sworn,26,03-25
Accrued Comp. Time - Non-Sworn,25,04-25
Accrued Comp. Time - Non-Sworn,30.672535211267608,05-25
Accrued Comp. Time - Non-Sworn,19.5,06-25
Accrued Comp. Time - Non-Sworn,65.63162790697675,07-25
Accrued Comp. Time - Non-Sworn,55.23731343283583,08-25
Accrued Comp. Time - Non-Sworn,39.5,09-25
Accrued Comp. Time - Non-Sworn,20,10-25
Accrued Comp. Time - Non-Sworn,31,11-25
Accrued Comp. Time - Non-Sworn,55,12-25
Accrued Comp. Time - Sworn,135.75,01-25
Accrued Comp. Time - Sworn,150.5,01-26
Accrued Comp. Time - Sworn,202.5,02-25
Accrued Comp. Time - Sworn,278.5,03-25
Accrued Comp. Time - Sworn,202,04-25
Accrued Comp. Time - Sworn,250.3274647887324,05-25
Accrued Comp. Time - Sworn,365,06-25
Accrued Comp. Time - Sworn,201.61837209302325,07-25
Accrued Comp. Time - Sworn,255.7626865671642,08-25
Accrued Comp. Time - Sworn,253.5,09-25
Accrued Comp. Time - Sworn,293.75,10-25
Accrued Comp. Time - Sworn,220.75,11-25
Accrued Comp. Time - Sworn,249.75,12-25
Accrued Overtime - Non-Sworn,214.3400576368876,01-25
Accrued Overtime - Non-Sworn,119,01-26
Accrued Overtime - Non-Sworn,171.2840790842872,02-25
Accrued Overtime - Non-Sworn,163.56647864625302,03-25
Accrued Overtime - Non-Sworn,153.98713692946058,04-25
Accrued Overtime - Non-Sworn,159.5938864628821,05-25
Accrued Overtime - Non-Sworn,208,06-25
Accrued Overtime - Non-Sworn,183.25976845151956,07-25
Accrued Overtime - Non-Sworn,224.361249112846,08-25
Accrued Overtime - Non-Sworn,169.5,09-25
Accrued Overtime - Non-Sworn,197,10-25
Accrued Overtime - Non-Sworn,208.5,11-25
Accrued Overtime - Non-Sworn,150.5,12-25
Accrued Overtime - Sworn,302.1599423631124,01-25
Accrued Overtime - Sworn,344,01-26
Accrued Overtime - Sworn,307.2159209157128,02-25
Accrued Overtime - Sworn,462.933521353747,03-25
Accrued Overtime - Sworn,446.5128630705394,04-25
Accrued Overtime - Sworn,521.4061135371179,05-25
Accrued Overtime - Sworn,629.5,06-25
Accrued Overtime - Sworn,501.2402315484805,07-25
Accrued Overtime - Sworn,478.138750887154,08-25
Accrued Overtime - Sworn,305.5,09-25
Accrued Overtime - Sworn,453.5,10-25
Accrued Overtime - Sworn,281.75,11-25
Accrued Overtime - Sworn,307,12-25
Comp (Hours),193,01-25
Comp (Hours),318,01-26
Comp (Hours),166.5,02-25
Comp (Hours),236.75,03-25
Comp (Hours),176,04-25
Comp (Hours),231,05-25
Comp (Hours),272.75,06-25
Comp (Hours),278.25,07-25
Comp (Hours),241.25,08-25
Comp (Hours),343.25,09-25
Comp (Hours),376,10-25
Comp (Hours),389,11-25
Comp (Hours),245.75,12-25
Employee Sick Time (Hours),1624.5,01-25
Employee Sick Time (Hours),1635,01-26
Employee Sick Time (Hours),1353.5,02-25
Employee Sick Time (Hours),1358,03-25
Employee Sick Time (Hours),1529,04-25
Employee Sick Time (Hours),1629,05-25
Employee Sick Time (Hours),1365,06-25
Employee Sick Time (Hours),1315.5,07-25
Employee Sick Time (Hours),860.5,08-25
Employee Sick Time (Hours),1071,09-25
Employee Sick Time (Hours),1006.5,10-25
Employee Sick Time (Hours),946.5,11-25
Employee Sick Time (Hours),1078,12-25
Injured on Duty (Hours),72.67,01-25
Injured on Duty (Hours),269,01-26
Injured on Duty (Hours),149.5,02-25
Injured on Duty (Hours),0,03-25
Injured on Duty (Hours),0,04-25
Injured on Duty (Hours),0,05-25
Injured on Duty (Hours),135,06-25
Injured on Duty (Hours),252,07-25
Injured on Duty (Hours),180,08-25
Injured on Duty (Hours),456,09-25
Injured on Duty (Hours),80,10-25
Injured on Duty (Hours),24,11-25
Injured on Duty (Hours),32,12-25
Military Leave (Hours),228,01-25
Military Leave (Hours),66,01-26
Military Leave (Hours),192,02-25
Military Leave (Hours),36,03-25
Military Leave (Hours),24,04-25
Military Leave (Hours),84,05-25
Military Leave (Hours),180,06-25
Military Leave (Hours),24,07-25
Military Leave (Hours),36,08-25
Military Leave (Hours),48,09-25
Military Leave (Hours),72,10-25
Military Leave (Hours),12,11-25
Military Leave (Hours),48,12-25
Used SAT Time (Hours),427,01-25
Used SAT Time (Hours),497.5,01-26
Used SAT Time (Hours),591,02-25
Used SAT Time (Hours),517,03-25
Used SAT Time (Hours),411.5,04-25
Used SAT Time (Hours),385,05-25
Used SAT Time (Hours),533.5,06-25
Used SAT Time (Hours),341,07-25
Used SAT Time (Hours),714.5,08-25
Used SAT Time (Hours),592,09-25
Used SAT Time (Hours),720.5,10-25
Used SAT Time (Hours),580.5,11-25
Used SAT Time (Hours),627.5,12-25
